Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
Brazil,BRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1774799957640.26,1845115804308.01,1957111987492.35,2056813970746.82,2054224996031.67,2208871646202.82,2296661602101.93,2340783923763.47
China,CHN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3569853144826.43,4023919866652.1,4596579517120.51,5040346604944.95,5514129769001.55,6100620356557.32,6682402539998.24,7207389598803.8
Germany,DEU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3213968781456.95,3332890754966.89,3441560834437.09,3478809377483.44,3283339933774.83,3417298013245.03,3542371125827.81,3559799337748.34
India,IND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1123372456742.38,1227441219404.62,1333101870914.04,1384972292309.54,1502414949729.49,1656562168648.57,1766530791975.94,1863407632743.79
Russian Federation,RUS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1281319833580.32,1385791374566.36,1504069779920.3,1583002663062.89,1459197844811.38,1524915341870.26,1589940424512.94,1645873604341.32
United Kingdom,GBR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2385316603986.4,2445021282756.49,2507511603986.4,2491784360784.92,2383946471878.86,2429602904820.77,2466267113720.64,2498649659610.63
United States,USA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,14408093840400,14792303791800,15055395304800,15011490541400,14594842181900,14964372000000,15204019634600,15542161722300
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 04/27/2017,,,,,,,,,,,
