Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
Brazil,BRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,9416.42144588581,9675.5785194055,10151.8108266189,10560.2360787523,10443.3728547723,11121.4180921177,11453.6668370288,11565.0474541912
China,CHN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2738.2054005664,3069.30471438429,3487.84568996575,3805.02591614039,4142.03819614617,4560.5124871009,4971.54482081216,5336.06002747016
Germany,DEU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,38971.641894822,40459.2661435109,41834.3577183285,42367.6198736368,40088.4914484135,41788.0447853084,44127.9585923776,44261.8950601021
India,IND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,981.688932268881,1056.23747706902,1130.04840940886,1156.96840301736,1237.38840184157,1345.7213825728,1416.11803348493,1474.69366258692
Russian Federation,RUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,8927.90565842376,9687.49351320027,10532.3262706179,11089.9299546553,10219.5213064054,10674.9823156144,11121.5079116121,11493.3962388912
United Kingdom,GBR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,39491.2082382329,40183.2221101528,40890.5885594713,40315.5720608148,38280.1743244877,38708.6762921633,38986.8684399667,39225.0846481199
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 04/27/2017,,,,,,,,,,,
